Name,Address,RW_URL,Website,RW_PHOTO,RW_DETAILS,RW_DEALS,RW_MENU,RESERVATION_LINK
Mixto Restaurant,"1141 Pine St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#mixto-restaurant,http://www.mixtorestaurante.com,https://centercityphila.org/uploads/attachments/civihl8hl0162kgqdq30p5b71-mixto-rw-photo-by-d-cruz-for-visit-philadelphia-r.168.0.580.580.full.jpg,"Participating in lunch, dinner and takeout. Offering indoor dining.  Not participating on Saturday, January 27 and Saturday, February 3. ",$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/clpvbkb0q02tpxwqdkeaplz8o-mixto-dinner.pdf,https://www.opentable.com/restaurant/profile/94348/reserve?ref=939
Monster Vegan,"1229 Spruce St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#monster-vegan,http://www.themonstervegan.com,https://centercityphila.org/uploads/attachments/cl7xex5qb36v6uqqddkv4tr7g-monsterphoto.877.0.2400.2400.full.jpg,"Participating in dinner only. Offering indoor and outdoor dining. Closed Sundays. Large parties accepted, reservations are encouraged.. ",$45 dinner menu coming soon. ,,
Morea,"110 South 11th St., Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#morea,https://moreaphilly.com,https://centercityphila.org/uploads/attachments/cksizpf5215avojqdsm28d6sa-morea-photo.960.0.3840.3840.full.jpg,Participating in dinner.  Offering indoor and outdoor dining. RESTAURANT WEEK MENUS: $45 DINNE,,https://centercityphila.org/uploads/attachments/clr7x9uzx1x6i55qdhdjvhepf-morea.pdf,https://www.opentable.com/restaurant/profile/1178902/reserve?ref=939
The Morris,"225 S 8th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#the-morris,http://themorrisphilly.com,https://centercityphila.org/uploads/attachments/cll0xllj9a5utypqd59wtd233-morris.0.500.3000.3000.full.jpg,Participating in dinner only. Offering indoor and outdoor dining. No parties larger than 6. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clqobagtr13d055qdb9av106p-morris.pdf,https://www.opentable.com/restaurant/profile/1281526/reserve?ref=939
Moshulu,"401 S Columbus Blvd., Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#moshulu,http://www.moshulu.com,https://centercityphila.org/uploads/attachments/ckebnppuo333jhxqd61yan0wi-moshulu1.770.266.1492.1492.full.png," Participating in dinner only. Offering indoor dining. Not participating on Saturday, January 27 and Saturday, February 3. ",$45 DINNER,https://centercityphila.org/uploads/attachments/clr9c21o41z58hjqd8p0tlmj8-moshulu-2.pdf,https://www.opentable.com/restaurant/profile/2467/reserve?ref=939
Ocean Prime,"124 S 15th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#oceanprime,,https://centercityphila.org/uploads/attachments/ciybqi3qj0ihbu5qdcdphbdhs-oceanprime-1013-7103sm.408.0.864.864.full.jpg,Participating in dinner only. Offering indoor dining. ,$60 DINNER,https://centercityphila.org/uploads/attachments/clqh7to4o0v3nxwqdzivdqwrt-oceanprime.pdf,https://www.opentable.com/restaurant/profile/109042/reserve?ref=939
The Olde Bar,"125 Walnut St, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#the-olde-bar,http://www.theoldebar.com,https://centercityphila.org/uploads/attachments/ckok9o74w0xwth2qds1r6idgh-olde-bar.0.0.1080.1080.full.png, Participating for dinner only. Offering indoor dining. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clr6hffo41vj3qoqdf4jorwaw-oldebar-1.pdf,https://www.opentable.com/restaurant/profile/193273/reserve?ref=939
Oloroso Tapas and Sherry Bar,"1121 Walnut St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#oloroso-tapas-and-sherry-ba,http://olorosophl.com,https://centercityphila.org/uploads/attachments/cjmglk9eb00d99yqdwrm7naew-oloroso-bar.321.0.750.750.full.jpg,"Participating in dinner only. Offering indoor dining. Closed Mondays. Not participating on Saturday, January 27 and Saturday, February 3. RESTAURAUNT WEEK MENU: $45 DINNE",,https://centercityphila.org/uploads/attachments/clr53sn2y1s2b55qdnfhvlf7p-oloroso.pdf,
Oltremare,"2121 Walnut Street, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#oltremare,,https://centercityphila.org/uploads/attachments/ciyahjvr50iafu5qdu5tzls7x-restaurant-week-sips-filler-image.0.0.720.720.full.jpg,"Participating in dinner only. Offering indoor dining. Not participating on Saturday, January 27 and Saturday, February 3. ",$60 DINNER,https://centercityphila.org/uploads/attachments/clr53v4hf1skqw0qdt697n161-oltremare.pdf,
Osteria,"640 North Broad Street, Philadelphia, PA 19130",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#osteria,https://www.osteriaphilly.com,https://centercityphila.org/uploads/attachments/cjqjtpbj92spcphqdhpn2l8s6-osteriapatioforweb.337.0.1249.1249.full.png,Participating in dinner only. Offering indoor and outdoor dining. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clq2pzvzr0bwg3oqd48nshml9-osteria.pdf,
Osteria Ama Philly,"1905 Chestnut Street, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#osteria-ama-philly,https://www.osteriaama.com,https://centercityphila.org/uploads/attachments/clr878ozu1y9lqoqd448khxyq-96fdf010-19ca-462b-95d9-b2c6c2e44644.108.0.612.612.full.jpg,"Participating in lunch, dinner, and takeout. Offering indoor dining. BYOB. Parties larger than 20 people are subject to a price fix menu different from the Restaurant Week menu, and are required to pay a deposit. ",$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/clr8cas8k1xxw55qde1hj5g4e-osteriaamadinner-1.pdf,https://www.opentable.com/restaurant/profile/1317085/reserve?ref=939
Oyster House,"1516 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#oyster-house,http://www.oysterhousephilly.com,https://centercityphila.org/uploads/attachments/cliaibro46z2ewnqdeejj8tjm-210728-oysterhouse-0081.335.0.1254.1254.full.jpg,"Participating in dinner only. Closed Sundays and Mondays. Offering indoor dining. Not participating on Saturday, January 27 and Saturday, February 3. ",$45 DINNER,https://centercityphila.org/uploads/attachments/clpx1obcd05msqoqdsq5pg0c9-oysterhouse.pdf,
Panorama,"14 N Front St, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#panorama,http://www.panoramawinebar.com,https://centercityphila.org/uploads/attachments/civii226r015wlzqdyvm4exsd-panorama-ricotta-gnocchi-pesto-house-made-gnocchi-with-broccoli-rabe-pesto-and-scamorza-cheese.701.0.2304.2304.full.jpg, Participating in dinner only. Offering indoor dining. Closed Mondays. All reservations require a credit card. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clqzl5hnk1j6u55qdtud9doze-panorama-2.pdf,https://www.opentable.com/restaurant/profile/3644/reserve?ref=939
Pearl & Mary,"114 S 13th St., Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#pearl-mary,https://www.pearlandmary.com,https://centercityphila.org/uploads/attachments/clhtl8zh56oho0vqdg15t4vv9-pearl-and-mary.600.0.2400.2400.full.jpg,"Participating in dinner only. Offering indoor and outdoor dining. Not participating on Saturday, January 27 and Saturday, February 3. ",$45 dinner menu coming soon.,,
Picanha Brazilian Steakhouse,"1111 Locust St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#picanha-brazilian-steakhouse,https://picanhasteakhouse.com/?utm_source=GMB&utm_medium=organic&utm_campaign=1SEO_SM_GMB,https://centercityphila.org/uploads/attachments/cktk6krcz2i6wq8qdmohyk5w7-picanha.959.0.3839.3839.full.jpg,"Participating in lunch, dinner, and takeout. Offering indoor dining. ",$45 DINNER,https://centercityphila.org/uploads/attachments/clr6h96qa1uyh3oqdgqh59r8a-picanha-2.pdf,https://www.opentable.com/restaurant/profile/1045828/reserve?ref=939
Pizzeria Vetri Rittenhouse,"1615 Chancellor St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#pizzeria-vetri-rittenhouse,http://pizzeriavetri.com,https://centercityphila.org/uploads/attachments/clcrwv6etssfswgqdbai4wv8p-pizzeria-vetri.200.0.800.800.full.png,"s Participating in lunch and dinner. Offering indoor and outdoor dining. First come, first served seating. ",$45 DINNER | $20 LUNCH | COCKTAILS,https://centercityphila.org/uploads/attachments/clq1270y909vr55qd5k1so1yn-pizzavetridinner.pdf,
Porcini,"2048 Sansom St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#porcini,https://porcinirestaurant.com/index.html,https://centercityphila.org/uploads/attachments/civii502f015xmpqdg8i6h739-img-0036.0.437.1536.1536.full.jpg,Participating in dinner only. Offering indoor dining BYOB. Closed on Sunday. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clr6h6ooz1ux93oqdj6rjwonf-porcini.pdf,https://www.opentable.com/restaurant/profile/47305/reserve?ref=939
Positano Coast by Aldo Lamberti,"212 Walnut St, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#positano-coast-by-aldo-lamberti,http://www.positanocoast.net,https://centercityphila.org/uploads/attachments/clbh1zbsq764zwgqd352rxuo1-positanocoast-002.200.0.800.800.full.jpg,Participating in dinner only. Offering indoor dining. Closed on Monday. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clr6hbrx91umwafqdlwhcszbn-positano.pdf,https://www.opentable.com/restaurant/profile/16846/reserve?ref=939
Prunella,"112 S 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#prunella,https://prunellaphl.com,https://centercityphila.org/uploads/attachments/cl3udxaaw0p6driqd94fo2kz4-prunella-use.203.0.962.962.full.jpg,"Participating in lunch and dinner. Offering indoor and outdoor dining. Not participating on Saturday, January 27 and Saturday, February 3. ",$45 dinner menu coming soon.,,
Pumpkin BYOB,"1713 South St, Philadelphia, PA 19146",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#pumpkin-byob,http://www.pumpkinphilly.com,https://centercityphila.org/uploads/attachments/civiifglb016glzqdu6zhky95-pumpkin-bacondish.0.0.700.700.full.jpg,"Participating in dinner only. Offering indoor, outdoor dining. BYOB. Closed Mondays. ",$45 DINNER,https://centercityphila.org/uploads/attachments/clph1qrhs1hftuoqd3igvleuo-pumpkin-byob.pdf,https://www.opentable.com/restaurant/profile/63118/reserve?ref=939
Red Owl Tavern,"433 Chestnut Street, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#red-owl-tavern,http://redowltavern.com,https://centercityphila.org/uploads/attachments/ciybqm0n90jr4teqdscmfzcs6-red-owl-general-seating-3929.497.0.1324.1324.full.jpg,"Participating in dinner only. Offering indoor dining. Not participating on Saturday, January 27 and Saturday, February 3. Closed Sunday nights. Reservations are required for Restaurant Week. ",$45 dinner menu coming soon.,,https://www.opentable.com/restaurant/profile/95680/reserve?ref=939
Restaurant Aleksandar,"126 S 19th Street, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#restaurant-aleksandar-2,,https://centercityphila.org/uploads/attachments/cll9nk80cajh1m8qddx6ii38s-restaurantaleksandar.487.0.1566.1566.full.png,Participating in lunch and dinner. Offering indoor dining. Closed Monday. Large parties of 12 or more are subject to a family style menu. ,$60 DINNER AND $20 LUNCH,https://centercityphila.org/uploads/attachments/clqb0tnbj0mdww0qdujkzl3wc-aleksansdar1.pdf,https://www.opentable.com/restaurant/profile/1164322/reserve?ref=939
Rex at The Royal,"1524 South St, Philadelphia, PA 19146",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#rex-at-the-royal,http://www.rexphl.com,https://centercityphila.org/uploads/attachments/cllnteep2b19lypqdf7p73wta-rexattheroyal-frontdoor.266.0.1067.1067.full.jpg,Participating in dinner only. Closed Mondays and Tuesdays. Offering indoor and outdoor dining. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clpx1r3l005guhjqdoky6myf3-rexdinner.pdf,
Sampan,"124 S 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#sampan7,http://www.sampanphilly.com,https://centercityphila.org/uploads/attachments/civiimo6s016fmpqdw3tay7l6-sampan-rw-photo-by-e-mencher-for-visit-philadelphia-r.39.0.603.603.full.jpg,"Participating in dinner only. Offering indoor and outdoor dining. Not participating on Saturday, January 27 and Saturday, February 3. ",$45 dinner menu coming soon.,,
Scarpetta Philadelphia,"210 W Rittenhouse Square, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#scarpetta7,,https://centercityphila.org/uploads/attachments/ciybqoh5i0jr8teqddsd5a3gv-pasta-national-spaghetti-day.0.0.1237.1237.full.jpg, Participating in dinner only. Offering indoor dining. Closed Sundays and Mondays. ,$60 dinner menu coming soon.,,https://www.opentable.com/restaurant/profile/1033786/reserve?ref=939
Seafood Unlimited,"270 S 20th St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#seafood-unlimited,http://www.seafoodunlimited.com,https://centercityphila.org/uploads/attachments/cj62hdenl00pqppqd3uobop9i-seafood-unlimited-rw.0.0.1200.1200.full.jpg,Participating in dinner and takeout. Closed on Sunday and Monday. Offering indoor and outoor dining. Please call restaurant for reservations. ,$45 Dinner ,https://centercityphila.org/uploads/attachments/clktr4eio9xyim8qdtqeg1ovj-seafoodunlimited.pdf,
SOUTH Restaurant & Jazz Club,"600 N Broad St, Philadelphia, PA 19130",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#south-restaurant-jazz-club,http://www.southjazzkitchen.com,https://centercityphila.org/uploads/attachments/ckep0cyki3emantqdnynsonyi-southjazz.340.108.1071.1071.full.jpg,Participating in dinner only. Offering indoor dining. Closed MondayWednesday. Reservations required. No parties larger than 6. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clr8c8o5u1xyo3oqdr7awzwr9-south.pdf,
Spasso Italian Grill,"34 S Front St, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#spasso-italian-grill,http://www.spassoitaliangrill.com,https://centercityphila.org/uploads/attachments/cko37wr4c0ae5b7qdmo0jphoc-0b471df4-8744-47b9-8f17-27df1d1477b0.0.109.644.644.full.jpg,"Participating in dinner only. Offering indoor dining. Closed on Mondays. For groups of 6 or more, the whole party must be present to be seated. ",$45 DINNER,https://centercityphila.org/uploads/attachments/clqpn5xj4151yhjqd4iyxg8ad-spasso.pdf,https://www.opentable.com/restaurant/profile/37555/reserve?ref=939
Spice Finch,"220 S 17th Street, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#spice-finch,http://spicefinchphilly.com,https://centercityphila.org/uploads/attachments/ck43b9h5f0yrv2pqdqlj82uaq-0x3a0181.1078.0.4315.4315.full.jpg, Participating in dinner and takeout. Offering indoor and outdoor dining. Whole table must participate in Restaurant Week menu. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clqob8vmw13cp55qd8yg7mzte-spicefinch.pdf,
Square 1682,"121 S 17th St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#square-1682,http://www.square1682.com,https://centercityphila.org/uploads/attachments/clmcv5cdbc7hujnqdqn139hp8-square1682.0.690.4016.4016.full.jpg, Participating in lunch and dinner. Offering indoor dining. Closed Sundays and Mondays. ,$45 DINNER AND $20 LUNCH,https://centercityphila.org/uploads/attachments/clpx1tczy05j4c3qdvvto7azq-square1682.pdf,https://www.opentable.com/restaurant/profile/35443/reserve?ref=939
Thanal Indian Tavern,"1939 Arch Street, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#thanal-indian-tavern,https://www.thanalphilly.com,https://centercityphila.org/uploads/attachments/cjvqpu1f81gj8rfqdp8i70n1t-capture.0.7.822.822.full.png,"Participating in lunch, dinner and takeout. Offering indoor and outdoor dining. ",$45 DINNER AND $20 LUNCH,https://centercityphila.org/uploads/attachments/clpvcm9fq02wahjqdumhmu6mz-thanal-lunch-and-dinner.pdf,https://www.opentable.com/restaurant/profile/1030468/reserve?ref=939
Thirteen Restaurant,"1201 Market Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#thirteen-restaurant,http://philadelphiamarriottdowntown.ipoolside.com,https://centercityphila.org/uploads/attachments/cljxagw2g8wllypqdpgvc48a0-mc-phldt-13-outdoor-patio-11462.450.0.1800.1800.full.jpg,Participating in lunch and dinner. Offering indoor dining. Closed on Sundays and Mondays. Please contact restaurant for parties over 10 people. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clr51lkzv1rqm55qdx1ghvvxi-thirteen.pdf,https://www.opentable.com/restaurant/profile/5450/reserve?ref=939
Twenty Manning,"261 S 20th Street, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#twenty-manning,https://www.twentymanning.com,https://centercityphila.org/uploads/attachments/clcl2h9ytrrhhtvqdy5hnrdra-twentymanning.41.375.976.976.full.jpg,Participating in dinner only. Offering indoor dining. Closed on Sundays and Mondays. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clr51vvte1s1uhjqdsvht9mgg-twentymanning.pdf,
The Twisted Tail,"509 S 2nd St, Philadelphia, PA 19147",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#the-twisted-tail,http://www.thetwistedtail.com,https://centercityphila.org/uploads/attachments/civjmu6uk0008dgqdxs2609nv-the-twisted-tail-fried-chicken.1061.0.2848.2848.full.jpg,Participating in dinner only. Offering indoor dining. ,$45 DINNER,https://centercityphila.org/uploads/attachments/clr8c6qhq1xtshjqdz7qia948-twistedtail.pdf,https://www.opentable.com/restaurant/profile/88672/reserve?ref=939
Veda - Modern Indian Bistro,"1920 Chestnut St., Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#veda-modern-indian-bistr,http://vedaphilly.com,https://centercityphila.org/uploads/attachments/ckxglxq5b4luisrqdwjk1e6le-veda.0.52.710.710.full.jpg," Participating in lunch, dinner and takeout. Offering indoor dining. A credit card is required for parties of 8 or more to make a reservation. 130 minutes (1 1/2 hour) seat times. All guests must arrive in order to be seated. ",$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/clqbfq6py0mroxwqdl6i1870i-veda-dinner.pdf,https://www.opentable.com/restaurant/profile/271087/reserve?ref=939
Via Locusta,"1723 Locust St,  Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#via-locust,https://www.vialocusta.com,https://centercityphila.org/uploads/attachments/cl4rbyobb02avtvqdlrra2ag3-via-locusta.0.1324.5304.5304.full.jpg,"Participating in dinner only. Offering indoor and outdoor dining. Not participating on Saturday, January 27 and Saturday, February 3. ",$45 dinner menu coming soon.,,
Village Whiskey,"118 S 20th St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#village-whiskey,http://www.villagewhiskey.com,https://centercityphila.org/uploads/attachments/cjpynepcg1u6zpbqdfmh45zsz-villagewhiskey.3.0.594.594.full.jpg,s Participating in dinner only. Offering indoor dining. RESTURAUNT WEEK MENU: $45 DINNER ,,https://centercityphila.org/uploads/attachments/clr5f318a1syp3oqdxlgchrsk-village1.pdf,https://www.opentable.com/restaurant/profile/1008274/reserve?ref=939
Vintage Wine Bar & Bistro,"129 S 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#vintage-wine-bar-bistro,http://www.vintage-philadelphia.com,https://centercityphila.org/uploads/attachments/civjobv3c0025e7qdq0r544sv-vintage-wine-bar-fig-gorgonzola-bruschetta.0.330.852.852.full.jpg,Participating in dinner only. Offering indoor and outdoor dining. ,$45 dinner menu coming soon.,,
Volver,"300 S Broad St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#volver,http://www.volverrestaurant.com,https://centercityphila.org/uploads/attachments/civfo60ud00u5kgqdecdbnaz9-volver-sl-1910.129.3.1360.1360.full.jpg,"Participating in lunch, dinner and takeout. Offering indoor dining. Closed on Mondays and Tuesdays BYOB with corkage fee ",$45 DINNER,https://centercityphila.org/uploads/attachments/clr6hdkvi1vi0qoqdr4qt03ox-volver-1.pdf,https://www.opentable.com/restaurant/profile/269473/reserve?ref=939
