Bar,Drink,Predicted Item,Price,Sips Deal
Double Knot,"Sheet Bend: Hornitos Tequila, amarena, lime",Sheet Bend,$7,Y
Double Knot,"Barrel Hitch: bourbon, blackberry, lemon",Barrel Hitch,$7,Y
Double Knot,House red wine,Red,$6,Y
Double Knot,House white wine,Vermentino,$6,Y
Double Knot,House rose,Rosé,$6,Y
Double Knot,Montucky Cold Snacks Lage,Montucky Cold Snacks,$5,Y
Drinker's Pub,Hornitos Paloma,Paloma,$7,Y
Drinker's Pub,Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
Drinker's Pub,Pinot Noir,Pinot Noir,$6,Y
Drury Beer Garden (DBG),"Sansom St Mule: vodka, lime, ginger beer",Moscow Mule,$7,Y
Drury Beer Garden (DBG),"Hornitos Pear Margarita: tequila, pear, lime, club",Margarita,$7,Y
Drury Beer Garden (DBG),House White,White,$6,Y
Drury Beer Garden (DBG),House Red,Red,$6,Y
Drury Beer Garden (DBG),Modelo Especial lager,Modelo,$5,Y
Drury Beer Garden (DBG),Kona Big Wave golden ale,Kona Big Wave,$5,Y
Fado Irish Pub,Mango Jalapeño Margarita,Margarita,$7,Y
Fado Irish Pub,Sycamore Lane Chardonnay 6oz glass,Chardonnay,$6,Y
Fado Irish Pub,Modelo,Modelo,$5,Y
Fahrenheit 451 Pizza and Bar,Margarita,Margarita,$7,Y
Fahrenheit 451 Pizza and Bar,House wines,White,$6,Y
Flambo Caribbean Restaurant,"Hornitos and select vodka, gin and rum cocktails",Gin and Tonic,$7,Y
Flambo Caribbean Restaurant,Chardonnay,Chardonnay,$6,Y
Flambo Caribbean Restaurant,Cabernet,Cabernet Sauvignon,$6,Y
Giovani's Bar & Grill,Gio's Tea,Gio's Tea,$7,Y
Giovani's Bar & Grill,Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
Giovani's Bar & Grill,Michelob Ultra,Michelob Ultra,$5,Y
Giuseppe and Sons,"La Grenada Hornitos Tequila, Pomegranate, Soda Hotel Nacional Rum, Pineapple, Apricot",La Grenada,$7,Y
Giuseppe and Sons,Vino Rosso,Vino Rosso,$6,Y
Giuseppe and Sons,Vino Bianco,Vino Bianco,$6,Y
The Goat Rittenhouse,Pomegranate Margarita,Margarita,$7,Y
The Goat Rittenhouse,Spinelli Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
The Goat Rittenhouse,Arizona Hard Ice Tea,Arizona Hard Ice Tea,$5,Y
Gran Caffe L'Aquila,Margarita Calabrese,Margarita,$7,Y
Gran Caffe L'Aquila,"Hornitos Tequila, Caffo Orange Liqueur, Lemon, Limoncello Kiss.",Rosemarina,$7,Y
Gran Caffe L'Aquila,"Hugo: The cocktail of Italian summer Prosecco, Fresh Mint, Elderflower",Hugo,$7,Y
Gran Caffe L'Aquila,"Aperol Spritz: The official Aperitivo of Italy! Prosecco, Aperol & a spritz of club soda",Aperol Spritz,$7,Y
Gran Caffe L'Aquila,Vino Bianco: Falanghina sannino,Vino Bianco,$6,Y
Gran Caffe L'Aquila,Vino Rosso: Veneto rosso,Vino Rosso,$6,Y
Gran Caffe L'Aquila,Peroni (Lombardia) 5.10% the original Italian lager. a high quality malt and hop lager,Peroni,$5,Y
Hard Rock Cafe,Hornitos Jalapeno Infused Spicy Margarita,Margarita,$7,Y
Hard Rock Cafe,White Peach Sangria,White,$7,Y
Hard Rock Cafe,House wine,Vermentino,$6,Y
Harp & Crown,"The Secret Garden Hornitos Tequila, Watermelon, Lime",The Secret Garden,$7,Y
Harp & Crown,House Cocktail,Hugo,$7,Y
The Hayes,Hornitos Tequila Margarita,Margarita,$7,Y
The Hayes,White,White,$6,Y
The Hayes,Rose,Rosé,$6,Y
The Hayes,Red,Red,$6,Y
The Hayes,Coors Light Draft,Coors Light,$5,Y
The Hayes,Pacifico,Pacifico,$5,Y
The Hayes,Miller High Life,Miller High Life,$5,Y
The Hayes,Michelob Ultra,Michelob Ultra,$5,Y
Independence Beer Garden,"Paloma Hornitos tequila, grapefruit, soda",Paloma,$7,Y
Independence Beer Garden,"Down the Shore Vodka, Raspberry, Lemon",Martini,$7,Y
Independence Beer Garden,House Red,Red,$6,Y
Independence Beer Garden,House Rose,Rosé,$6,Y
Independence Beer Garden,House White,White,$6,Y
Independence Beer Garden,Miller High Life draft,Miller High Life,$5,Y
Iron Hill Brewery & Restaurant,"Margarita: Hornitos Plata, Triple Sec, Sour Mix",Margarita,$7,Y
Iron Hill Brewery & Restaurant,"Mojito: Rum, Lime Juice, Simple Syrup, Mint",Mojito,$7,Y
Iron Hill Brewery & Restaurant,"Vodka Lemonade: Vodka, Triple Sec, House Lemonade",Surfside Lemonade & Vodka,$7,Y
Iron Hill Brewery & Restaurant,"Whiskey Sour: Bourbon, Triple Sec, Sour Mix",Whiskey Sour,$7,Y
Iron Hill Brewery & Restaurant,House Red,Red,$6,Y
Iron Hill Brewery & Restaurant,House White,White,$6,Y
Iron Hill Brewery & Restaurant,House Rose,Rosé,$6,Y
Iron Hill Brewery & Restaurant,Sunny in Pils,Sunny in Pils,$5,Y
Iron Hill Brewery & Restaurant,Iron Hill Light Lager,Iron Hill Light Lager,$5,Y
Iron Hill Brewery & Restaurant,Vienna Red Lager,Vienna Red Lager,$5,Y
Iron Hill Brewery & Restaurant,Brambleberry,Brambleberry,$5,Y
Iron Hill Brewery & Restaurant,Homestead,Homestead,$5,Y
Iron Hill Brewery & Restaurant,Pig Iron Porter,Pig Iron Porter,$5,Y
Kook Burger & Bar,Spicy Peach Margarita,Margarita,$7,Y
Kook Burger & Bar,Echo Bay Sauvignon Blanc,Sauvignon Blanc,$6,Y
Kook Burger & Bar,Philly United,Philly Uniteds,$5,Y
Ladder 15,Hornitos Paloma,Paloma,$7,Y
Ladder 15,Surfside,Surfside Lemonade & Vodka,$7,Y
Ladder 15,Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
Ladder 15,Micholob ultra,Michelob Ultra,$5,Y
Leda and the Swan Cocktail Lounge,Raging Bull,Frozen Astronaut,$7,Y
Leda and the Swan Cocktail Lounge,Everyday is a Good Day,Frozen Astronaut,$7,Y
Leda and the Swan Cocktail Lounge,My Passion is Your Passion,Frozen Astronaut,$7,Y
Leda and the Swan Cocktail Lounge,Everyday Rose Seltzer Can,Rosé,$6,Y
Leda and the Swan Cocktail Lounge,Kirin Bottle,Kirin,$5,Y
Leda and the Swan Cocktail Lounge,Kirin Light Bottle,Kirin Light,$5,Y
Little Nonna's,Italian Paloma,Hugo,$7,Y
Little Nonna's,Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
Little Nonna's,Montepulciano,Frozen Astronaut,$6,Y
Little Nonna's,Peroni Italian Lager,Peroni,$5,Y
Marathon 16th & Sansom,Blue Margarita,Margarita,$7,Y
Marathon 16th & Sansom,House Merlot,Merlot,$6,Y
Marathon 16th & Sansom,House Chardonnay,Chardonnay,$6,Y
Marathon 16th & Sansom,Michelob Ultra draft,Michelob Ultra,$5,Y
Misconduct Tavern,Paloma,Paloma,$7,Y
Misconduct Tavern,Bud Light,Bud Light,$5,Y
The Mulberry on Arch,Dragonfruit Spritz,Aperol Spritz,$7,Y
The Mulberry on Arch,Rose,Rosé,$6,Y
The Mulberry on Arch,PBR,PBR,$5,Y
The Mulberry on Arch,Solid Gold Founders,Solid Gold Founders,$5,Y
Pagano's Market and Bar,Hornitos Margaritas,Margarita,$7,Y
Patchwork,Tamarind Spritz,Aperol Spritz,$7,Y
Patchwork,House Red,Red,$6,Y
Patchwork,House White,White,$6,Y
The Patio @ Thirteen Restaurant,Hornitos Paloma,Paloma,$7,Y
The Patio @ Thirteen Restaurant,Blue Margarita,Margarita,$7,Y
The Patio @ Thirteen Restaurant,Ginger Rose,Ginger Spirit,$7,Y
The Patio @ Thirteen Restaurant,Pink Champagne Margarita,Margarita,$7,Y
The Patio @ Thirteen Restaurant,Cranberry Moscow Mule,Moscow Mule,$7,Y
The Patio @ Thirteen Restaurant,Woodbridge Chardonnay,Chardonnay,$6,Y
The Patio @ Thirteen Restaurant,Don Miguel Gascon Malbec,Malbec,$6,Y
The Patio @ Thirteen Restaurant,Line 30 California Rosé,Frozen Astronaut,$6,Y
The Patio @ Thirteen Restaurant,Nobilo Sauvignon Blanc,Sauvignon Blanc,$6,Y
The Patio @ Thirteen Restaurant,Mark West Pinot Noir,Pinot Noir,$6,Y
The Patio @ Thirteen Restaurant,Coors Light,Coors Light,$5,Y
The Patio @ Thirteen Restaurant,Miller Light,Miller Lite,$5,Y
The Patio @ Thirteen Restaurant,Michelob Ultra,Michelob Ultra,$5,Y
The Patio @ Thirteen Restaurant,Stella Artois,Stella Artois,$5,Y
The Patio @ Thirteen Restaurant,Dogfish Head IPA,Dogfish Head IPA,$5,Y
The Patio @ Thirteen Restaurant,Victory Dirtwolf Double IPA,Victory Dirtwolf Double IPA,$5,Y
Pearl & Mary,"Gimlet: Vodka, Lime, Simple",Mojito,$7,Y
Pearl & Mary,"Paloma: Hornitos Tequila, Grapefruit, Soda",Paloma,$7,Y
Pearl & Mary,White,White,$6,Y
Pearl & Mary,Red,Red,$6,Y
Pearl & Mary,Rosé,Rosé,$6,Y
Pearl & Mary,Sparkling,Sparkling,$6,Y
Prunella,Pistola Rosa,Frozen Astronaut,$7,Y
Prunella,"Hornitos Tequila, Cocchi, Grapefruit",Rosemarina,$7,Y
Prunella,Honey Fitzgerald,Frozen Astronaut,$7,Y
Prunella,"Gin, Grappa, Lemon",Martini,$7,Y
Prunella,House White,White,$6,Y
Prunella,House Rosé,Rosé,$6,Y
Prunella,House Red,Red,$6,Y
Sampan,Prickly Pear Margarita,Margarita,$7,Y
Sampan,"Hornitos Tequila, Prickly Pear",Rosemarina,$7,Y
Sampan,Ming Mule,Moscow Mule,$7,Y
Sampan,"Vodka, Mint, Lychee, Ginger",Ginger Spirit,$7,Y
Sampan,House Rose wine and Pinenapple wine,Rosé,$6,Y
Sueno,Spicy Paloma,Paloma,$7,Y
Sueno,House Red,Red,$6,Y
Sueno,House White,White,$6,Y
Sueno,House Rose,Rosé,$6,Y
Thanal Indian Tavern,Classic Margarita with Hornitos Tequila,Margarita,$7,Y
Thanal Indian Tavern,Cocktail of the day,Hugo,$7,Y
Thanal Indian Tavern,House wines and daily special wines,Mai Tai,$6,Y
Time Restaurant,The Great Eye,The Great Eye,$7,Y
Time Restaurant,Merlot,Merlot,$6,Y
Time Restaurant,Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
Time Restaurant,Love City Lager,Love City Lager,$5,Y
Tir Na Nog Irish Bar & Grill,"Fresh Squeezed Margarita: Hornitos Tequila, Orange Juice, Fresh Squeezed Lemon & Lime Juice, Agave & Grand Marnier with a Salted Rim",Margarita,$7,Y
Tir Na Nog Irish Bar & Grill,"Peach Martini: Vodka, Orange Juice, Peach Schnapps, Triple Sec & Lime Juice",Surfside Iced Tea & Vodka,$7,Y
Tir Na Nog Irish Bar & Grill,Starborough Sauvignon Blanc,Sauvignon Blanc,$6,Y
Tir Na Nog Irish Bar & Grill,Dark Horse Rose,Rosé,$6,Y
Tir Na Nog Irish Bar & Grill,Stateside Orange Seltzer,Stateside Seltzer,$5,Y
Tir Na Nog Irish Bar & Grill,Strongbow Cider,Strongbow Cider,$5,Y
Top Tomato Bar & Pizza,Sunset On Top,Sunset On Top,$7,Y
Top Tomato Bar & Pizza,High Noon,High Noon,$7,Y
Top Tomato Bar & Pizza,Espresso Martini,Espresso Martini,$7,Y
Top Tomato Bar & Pizza,Classic Mule,Moscow Mule,$7,Y
Top Tomato Bar & Pizza,Hammered Hulk,Hammered Hulk,$7,Y
Top Tomato Bar & Pizza,Mango Tango,Mango Tango,$7,Y
Top Tomato Bar & Pizza,Philly Flush,Philly Flush,$7,Y
Top Tomato Bar & Pizza,House wine,Vermentino,$6,Y
Tradesman's,Trading Sunrises,Frozen Astronaut,$7,Y
Tradesman's,House Red,Red,$6,Y
Tradesman's,House White,White,$6,Y
Tradesman's,House Rose,Rosé,$6,Y
Uptown Beer Garden,Pineapple Lemonade,Pineapple Lemonade,$7,Y
Uptown Beer Garden,House Red,Red,$6,Y
Uptown Beer Garden,House White,White,$6,Y
Uptown Beer Garden,House Rose,Rosé,$6,Y
Veda - Modern Indian Bistro,Spicy Margarita,Margarita,$7,Y
Veda - Modern Indian Bistro,Stemmari Red Wine,Red,$6,Y
Veda - Modern Indian Bistro,Povero Favorita White Wine,Vermentino,$6,Y
Veda - Modern Indian Bistro,Rupee Lager,Rupee Lager,$5,Y
Via Locusta,"Rosemarina: Hornitos Tequila, Rosemary, Grapefruit",Rosemarina,$7,Y
Via Locusta,"Hugo Spritz: Elderflower, Mint, Lemon",Hugo,$7,Y
Via Locusta,White,White,$6,Y
Via Locusta,Oskar Blues,Oskar Blues,$5,Y
Vintage Wine Bar & Bistro,Roots & Culture,Roots & Culture,$7,Y
Vintage Wine Bar & Bistro,Barbera (Red wine),Barbera,$6,Y
Vintage Wine Bar & Bistro,Vermentino (White wine),Vermentino,$6,Y
Vintage Wine Bar & Bistro,Love City Lager,Love City Lager,$5,Y
Walnut Garden - Temporarily Closed,"A Walk in the Park: Hornitos Plata Tequila, Strawberry, Watermelon, Lime",The Secret Garden,$7,Y
Walnut Garden - Temporarily Closed,Rose (Grenache | Cinsauly),Grenache,$6,Y
Walnut Garden - Temporarily Closed,Walnut Garden Lager,Walnut Garden Lager,$5,Y
The Wayward,"Wooder Melon (Hornitos blanco tequila, salted watermelon, combier, lime, jalepeno oil",The Secret Garden,$7,Y
The Wayward,Proverb Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
The Wayward,Proverb Pinot Noir,Pinot Noir,$6,Y
The Wayward,Love City Lager,Love City Lager,$5,Y
Wicked Wolf,Hornitos Paloma,Paloma,$7,Y
Wrap Shack,Hornitos Tequila Paloma,Paloma,$7,Y
Wrap Shack,Well Liquor,Well Liquor,$7,Y
Wrap Shack,Pinot Grigio,Pinot Gris / Pinot Grigio,$6,Y
Wrap Shack,PBR,PBR,$5,Y
Tir Na Nog Irish Bar & Grill,Signature Old Fashioned,Old Fashioned,$12.00,N
Tir Na Nog Irish Bar & Grill,Signature Manhattan,Manhattan,$12.00,N
Tir Na Nog Irish Bar & Grill,Signature Irish Whiskey Sour,Irish Coffee,$12.00,N
Tir Na Nog Irish Bar & Grill,Signature Irish Coffee,Irish Coffee,$9.50,N
Tir Na Nog Irish Bar & Grill,Signature Gin & Tonic,Gin and Tonic,$11.00,N
Tir Na Nog Irish Bar & Grill,Irish Coffee,Irish Coffee,$9.50,N
Tir Na Nog Irish Bar & Grill,Guinness,Guinness,$7.25,N
Tir Na Nog Irish Bar & Grill,Harp,Harp,$5.00,N
Tir Na Nog Irish Bar & Grill,Strongbow Gold Apple,Strongbow Cider,$7.00,N
Tir Na Nog Irish Bar & Grill,Smithwicks,Smithwicks,$5.50,N
Tir Na Nog Irish Bar & Grill,Sam Adams Winter Lager- Beer of the Month,Sam Adams Winter Lager,$7.00,N
Tir Na Nog Irish Bar & Grill,Golden Road Mango Kart,Golden Road Mango Cart,$7.00,N
Tir Na Nog Irish Bar & Grill,Victory Brotherly Love,Victory Brotherly Love,$7.00,N
Tir Na Nog Irish Bar & Grill,Cape May Crushin It Orange IPA,Cape May Crushin It Orange IPA,$8.00,N
Tir Na Nog Irish Bar & Grill,Two Roads Lil Heaven IPA,Two Roads Lil Heaven IPA,$7.00,N
Tir Na Nog Irish Bar & Grill,Yards Philly Pale Ale,Yards Philly Pale Ale,$7.00,N
Tir Na Nog Irish Bar & Grill,Yuengling,Yuengling,$5.75,N
Tir Na Nog Irish Bar & Grill,Allagash,Allagash,$7.00,N
Tir Na Nog Irish Bar & Grill,Carlsberg,Carlsberg,$6.75,N
Tir Na Nog Irish Bar & Grill,Stella Artois,Stella Artois,$7.25,N
Tir Na Nog Irish Bar & Grill,Kronenberg,Kronenberg,$7.00,N
Tir Na Nog Irish Bar & Grill,Lagunitas IPA,Lagunitas IPA,$7.00,N
Tir Na Nog Irish Bar & Grill,Cigar City Jai Alai,Cigar City Jai Alai,$7.00,N
Tir Na Nog Irish Bar & Grill,Sierra Nevada Pale Ale,Sierra Nevada Pale Ale,$6.75,N
Tir Na Nog Irish Bar & Grill,Yards Philty Hazy IPA,Yards Philty Hazy IPA,$7.00,N
Tir Na Nog Irish Bar & Grill,Lancaster Milk Stout,Lancaster Milk Stout,$6.75,N
Tir Na Nog Irish Bar & Grill,Lefthand Milk Stout,Lefthand Milk Stout,$6.75,N
Tir Na Nog Irish Bar & Grill,St. Bernardus ABT 12,St. Bernardus ABT 12,$10.00,N
Tir Na Nog Irish Bar & Grill,Angry Orchard Crisp Apple Cider,Angry Orchard Apple Cider,$6.50,N
Tir Na Nog Irish Bar & Grill,Angry Orchard Rose Cider,Angry Orchard Apple Cider,$6.50,N
Tir Na Nog Irish Bar & Grill,Dogfish Head Seaquench Sour Ale,Dogfish Head Seaquench Sour Ale,$6.50,N
Tir Na Nog Irish Bar & Grill,Magners Irish Cider,Magners Apple Cider,$7.00,N
Tir Na Nog Irish Bar & Grill,Magners Pear Irish Cider,Magners Apple Cider,$7.00,N
Tir Na Nog Irish Bar & Grill,White Claw Mango,White Claw,$7.25,N
Tir Na Nog Irish Bar & Grill,White Claw Black Cherry,White Claw,$7.25,N
Tir Na Nog Irish Bar & Grill,Amstel Light,Amstel Light,$6.25,N
Tir Na Nog Irish Bar & Grill,Budweiser,Budweiser,$6.00,N
Tir Na Nog Irish Bar & Grill,Bud Light,Bud Light,$6.00,N
Tir Na Nog Irish Bar & Grill,Coors Light,Coors Light,$6.00,N
Tir Na Nog Irish Bar & Grill,Corona,Corona,$6.50,N
Tir Na Nog Irish Bar & Grill,Corona Light,Corona Light,$6.50,N
Tir Na Nog Irish Bar & Grill,Heineken,Heineken,$6.50,N
Tir Na Nog Irish Bar & Grill,Heinken Light,Heinken Light,$6.50,N
Tir Na Nog Irish Bar & Grill,Heineken 0.0,Heineken,$6.00,N
Tir Na Nog Irish Bar & Grill,Michelob Ultra,Michelob Ultra,$5.50,N
Tir Na Nog Irish Bar & Grill,Miller Lite,Miller Lite,$6.00,N
Tir Na Nog Irish Bar & Grill,Miller Highlife,Miller Lite,$5.00,N
Tir Na Nog Irish Bar & Grill,Twisted Tea,Twisted Tea,$6.00,N
Tir Na Nog Irish Bar & Grill,Yuengling,Yuengling,$5.00,N
Tir Na Nog Irish Bar & Grill,"Elmo Pio Pinot Grigio 2018 (Veneto, Italy)",Pinot Gris / Pinot Grigio,$9.75,N
Tir Na Nog Irish Bar & Grill,"BV Century Cellars Chardonnay 2019 (Napa Valley, CA)",Chardonnay,$9.75,N
Tir Na Nog Irish Bar & Grill,J. Roget Brut Sparkling White,White,$8.00,N
Tir Na Nog Irish Bar & Grill,"Rosehaven Rosé 2018 (Modesto, CA)",Rosé,$9.25,N
Tir Na Nog Irish Bar & Grill,"Proverb Merlot 2018 (Nappa Valley, CA)",Merlot,$11.25,N
Tir Na Nog Irish Bar & Grill,"Conquista Malbec 2018 (Mendoza, Argentina)",Malbec,$11.25,N
