BUSINESS,BUSINESS_TAGS,TIME,WEEKDAY,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
MISCONDUCT TAVERN JFK,"RESTAURANT,BAR",7:00 PM,TUESDAY,,CENTER CITY,1801 JOHN F KENNEDY BLVD,,PHILADELPHIA,PA,19103,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
SIDE BAR,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,,10 EAST GAY STREET,,WEST CHESTER,PA,19380,,,,,,,MIKE ARGY,QUIZZO
THE INTERNATIONAL,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,FIRST_OF_MONTH,FISHTOWN,1624 N FRONT ST,,PHILADELPHIA,PA,19122,,,,,,,MIKEV_EE,QUIZZO
OWEN'S PUB,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,,119 E 17TH AVE,,NORTH WILDWOOD,NJ,8260,,,,,,,MIKEY D,QUIZZO
WORLD OF BEER EXTON,"RESTAURANT,BAR",6:30 PM,SUNDAY,,,102 MAIN ST,STE 100,EXTON,PA,19341,,,,,,,QUIZZO WITH ALYSSA,QUIZZO
CAVANAUGH'S RITTENHOUSE,"RESTAURANT,BAR",6:30 PM,MONDAY,,RITTENHOUSE SQUARE,1823 SANSOM ST,,PHILADELPHIA,PA,19103,,,,,,,QUIZZOINPHILLY,QUIZZO
THE FAIRVIEW,"RESTAURANT,BAR",7:00 PM,THURSDAY,,FAIRMOUNT,601 N 21ST STREET,,PHILADELPHIA,PA,19130,CASH,25,CASH,15,CASH,10,QUIZZOMAN,QUIZZO
MONSTER VEGAN,"RESTAURANT,BAR,VEGAN",7:00 PM,TUESDAY,"FIRST_OF_MONTH,THIRD_OF_MONTH",CENTER CITY,1229 SPRUCE ST,,PHILADELPHIA,PA,19107,,,,,,,SAM WE ARE PODCAST,QUIZZO
GAUL & CO. MALT HOUSE,"RESTAURANT,BAR",8:00 PM,TUESDAY,,PORT RICHMOND,2619 E. INDIANA AVE,,PHILADELPHIA,PA,19134,,,,,,,SEALYONS86,QUIZZO
HILLTOWN TAVERN,"RESTAURANT,BAR",8:30 PM,TUESDAY,,FAIRMOUNT,795 N 24TH ST,,PHILADELPHIA,PA,19130,,,,,,,SETH,QUIZZO
PJ'S BLUEBELL,"RESTAURANT,BAR",7:30 PM,WEDNESDAY,,,799 DEKALB PIKE,,BLUE BELL,PA,19422,,,,,,,THE QUIZZO GUYS,QUIZZO
PJ'S HATFIELD,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,,190 FORTY FOOT RD,,HATFIELD,PA,19440,,,,,,,THE QUIZZO GUYS,QUIZZO
PJ'S HORSHAM,"RESTAURANT,BAR",8:00 PM,TUESDAY,,,101 EASTON RD,SUITE 300,HORSHAM,PA,19044,,,,,,,THE QUIZZO GUYS,QUIZZO
PJ'S OAKS,"RESTAURANT,BAR",8:30 PM,WEDNESDAY,,,180 MILL RD,,OAKS,PA,19456,,,,,,,THE QUIZZO GUYS,QUIZZO
PIZZA TIME SALOON,"RESTAURANT,BAR",8:00 PM,THURSDAY,,,1900 W POINT PIKE,,WEST POINT,PA,19486,,,,,,,THE QUIZZO GUYS,QUIZZO
JERRY'S BAR,"RESTAURANT,BAR",7:00 PM,TUESDAY,,NORTHERN LIBERTIES,129 W LAUREL ST,,PHILADELPHIA,PA,19123,GIFT_CARD,50,,,,,THEPHILLYQUIZZO,QUIZZO
DUFFERS MILL,"RESTAURANT,BAR",7:00 PM,TUESDAY,,,1600 NAAMANS CREEK RD,,BOOTHWYN,PA,19061,GIFT_CARD,25,,,,,THOMPSON ENT,QUIZZO
PJ'S WEST CHESTER,"RESTAURANT,BAR",7:45 PM,TUESDAY,,,1347 WILMINGTON PIKE,,WEST CHESTER,PA,19382,,,,,,,THOMPSON ENT,QUIZZO
DUFFERS TAVERN,"RESTAURANT,BAR",7:30 PM,WEDNESDAY,,,192 MIDDLETOWN RD,,GLEN MILLS,PA,19342,,,,,,,THOMPSON ENT,QUIZZO
GRID IRON SPORTS BAR,"RESTAURANT,BAR",7:45 PM,WEDNESDAY,,,934 TOWNSHIP LINE RD,,PHOENIXVILLE,PA,19460,,,,,,,THOMPSON ENT,QUIZZO
DUFFERS MILL,"RESTAURANT,BAR",7:00 PM,THURSDAY,,,1601 NAAMANS CREEK RD,,BOOTHWYN,PA,19061,,,,,,,THOMPSON ENTERTAINMENT,QUIZZO
BLACK TAXI,"RESTAURANT,BAR",7:30 PM,WEDNESDAY,,FAIRMOUNT,745 N 25TH ST,,PHILADELPHIA,PA,19130,,,,,,,TIM STEPHENS,QUIZZO
HENRY JAMES SALOON,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,ROXBOROUGH,577 JAMESTOWN AVE.,,PHILADELPHIA,PA,19128,,,,,,,TRIVIA MONTY,QUIZZO
THE POST,"RESTAURANT,BAR",6:00 PM,TUESDAY,,UNIVERSITY CITY,129 S 30TH ST,,PHILADELPHIA,PA,19104,,,,,,,,QUIZZO
MILKBOY SOUTH STREET,"RESTAURANT,BAR",7:00 PM,MONDAY,,SOUTH STREET,401 SOUTH ST,,PHILADELPHIA,PA,19147,,,,,,,,QUIZZO
SOUTHHOUSE,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,LAST_OF_MONTH,SOUTH PHILADELPHIA,2535 S 13TH ST,,PHILADELPHIA,PA,19148,,,,,,,,QUIZZO
BONK'S BAR,"RESTAURANT,BAR",8:00 PM,TUESDAY,,PORT RICHMOND,3467 RICHMOND ST,,PHILADELPHIA,PA,19134,,,,,,,,QUIZZO
COOK AND SHAKER,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,PORT RICHMOND,2301 E ALBERT ST,,PHILADELPHIA,PA,19125,,,,,,,,QUIZZO
MIFFLIN TAVERN,"RESTAURANT,BAR",7:00 PM,THURSDAY,,PENNSPORT,1843 S 2ND ST,,PHILADELPHIA,PA,19148,,,,,,,,QUIZZO
MOONSHINE PHILLY,"RESTAURANT,BAR",8:00 PM,TUESDAY,,PENNSPORT,1825 E MOYAMENSING AVE,,PHILADELPHIA,PA,19148,,,,,,,,QUIZZO
NITTY'S TAVERN,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,PASSYUNK,1720 W MOYAMENSING AVE,,PHILADELPHIA,PA,19145,,,,,,,,QUIZZO
THE ABBAYE,"RESTAURANT,BAR",8:00 PM,THURSDAY,,NORTHERN LIBERTIES,637 N 3RD ST,,PHILADELPHIA,PA,19123,,,,,,,,QUIZZO
STOGIE JOE'S,"RESTAURANT,BAR",7:00 PM,MONDAY,,NEWBOLD,1721 S CHADWICK ST,,PHILADELPHIA,PA,19145,CASH,100,GIFT_CARD,50,GIFT_CARD,25,,QUIZZO
MOUNT AIRY TAP ROOM,"RESTAURANT,BAR",8:00 PM,TUESDAY,,MOUNT AIRY,300 W MT PLEASANT AVE,,PHILADELPHIA,PA,19119,GIFT_CARD,50,GIFT_CARD,30,,,,QUIZZO
JD MCGILLICUDY'S,"RESTAURANT,BAR",8:00 PM,TUESDAY,,MANAYUNK,111 COTTON ST,,PHILADELPHIA,PA,19127,,,,,,,,QUIZZO
DAWSON STREET PUB,"RESTAURANT,BAR",8:00 PM,TUESDAY,,MANAYUNK,100 DAWSON ST,,PHILADELPHIA,PA,19127,,,,,,,,QUIZZO
GRACE TAVERN,"RESTAURANT,BAR",7:30 PM,WEDNESDAY,,GRADUATE HOSPITAL,2229 GRAYS FERRY AVE,,PHILADELPHIA,PA,19146,,,,,,,,QUIZZO
JJ MALLON'S,"RESTAURANT,BAR",9:00 PM,WEDNESDAY,,FISHTOWN,36 W GIRARD AVE,,PHILADELPHIA,PA,19123,,,,,,,,QUIZZO
KRAFTWORK BAR,"RESTAURANT,BAR",7:30 PM,THURSDAY,,FISHTOWN,541 E GIRARD AVE,,PHILADELPHIA,PA,19125,,,,,,,,QUIZZO
FETTE SAU,"RESTAURANT,BAR",6:30 PM,WEDNESDAY,,FISHTOWN,1208 FRANKFORD AVE,,PHILADELPHIA,PA,19125,,,,,,,,QUIZZO
URBAN SALOON,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,FAIRMOUNT,2120 FAIRMOUNT AVE,,PHILADELPHIA,PA,19130,,,,,,,,QUIZZO
BAR LY,"RESTAURANT,BAR",6:30 PM,TUESDAY,,CHINATOWN,101 N 11TH ST,,PHILADELPHIA,PA,19107,,,,,,,,QUIZZO
JOSE PISTOLA'S,"RESTAURANT,BAR",6:30 PM,MONDAY,,CENTER CITY,263 S 15TH ST,,PHILADELPHIA,PA,19102,,,,,,,,QUIZZO
"FINGERS, WINGS & OTHER THINGS","RESTAURANT,BAR",7:30 PM,THURSDAY,,,107 W RIDGE PIKE,,CONSHOHOCKEN,PA,19428,,,,,,,,QUIZZO
TANNERY RUN BREW WORKS,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,,131 E BUTLER AVE,,AMBLER,PA,19002,,,,,,,,QUIZZO
HUNT'S ANNEX,"RESTAURANT,BAR",8:00 PM,THURSDAY,,,1311 MACDADE BLVD,,WOODLYN,PA,19094,,,,,,,,QUIZZO
WORLD OF BEER EXTON,"RESTAURANT,BAR",7:00 PM,MONDAY,,,102 MAIN ST,STE 100,EXTON,PA,19341,,,,,,,,QUIZZO
LOCK 29,"RESTAURANT,BAR",7:00 PM,MONDAY,FIRST_OF_MONTH,,127 BRIDGE ST,,MONT CLARE,PA,19453,,,,,,,,QUIZZO
GRID IRON SPORTS BAR,"RESTAURANT,BAR",7:00 PM,MONDAY,,,934 TOWNSHIP LINE RD,,PHOENIXVILLE,PA,19460,,,,,,,,QUIZZO
GAUL & CO. ROCKLEDGE,"RESTAURANT,BAR",8:00 PM,TUESDAY,,,704 HUNTINGDON PIKE,,ROCKLEDGE,PA,19046,,,,,,,,QUIZZO
RIVALS,"RESTAURANT,BAR",7:00 PM,TUESDAY,,,5 LEHNS CT,,EASTON,PA,18042,,,,,,,,QUIZZO
LANDMARK AMERICANA,"RESTAURANT,BAR",7:00 PM,MONDAY,,,1 MULLICA HILL RD,,GLASSBORO,NJ,8028,,,,,,,,QUIZZO
PJ'S HADDON TWP,"RESTAURANT,BAR",7:00 PM,TUESDAY,,,700 N HADDON AVE,,HADDONFIELD,NJ,8033,,,,,,,,QUIZZO
TIME OUT,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,,2840 PINE RD,,HUNTINGDON VALLEY,PA,19006,,,,,,,,QUIZZO
LANSDALE TAVERN,"RESTAURANT,BAR",7:30 PM,MONDAY,,,839 W MAIN ST,,LANSDALE,PA,19446,,,,,,,,QUIZZO
STATE STREET PUB,"RESTAURANT,BAR",9:00 PM,WEDNESDAY,,,37 E STATE ST,,MEDIA,PA,19063,,,,,,,,QUIZZO
OAKLYN MANOR BAR,"RESTAURANT,BAR",7:00 PM,TUESDAY,,,198 W CLINTON AVE,,OAKLYN,NJ,8107,,,,,,,,QUIZZO
WEST END,"RESTAURANT,BAR",7:30 PM,THURSDAY,,,750 N WEST END BLVD,,QUAKERTOWN,PA,18951,,,,,,,,QUIZZO
THE VILLAGE PUB,"RESTAURANT,BAR",7:00 PM,TUESDAY,,,5 VILLAGE CENTER DR,,SWEDESBORO,NJ,8085,,,,,,,,QUIZZO
GREAT AMERICAN PUB (WAYNE),"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,,4 WEST AVE,,WAYNE,PA,19087,,,,,,,,QUIZZO
DAHLAK,"RESTAURANT,BAR",6:30 PM,THURSDAY,,CEDAR PARK,4708 BALTIMORE AVE,,PHILADELPHIA,PA,19143,,,,,,,,QUIZZO
RACK'S PUB,"RESTAURANT,BAR",7:30 PM,THURSDAY,,,2021 N BLACK HORSE PIKE,,WILLIAMSTOWN,NJ,8094,,,,,,,,QUIZZO
QUEEN & ROOK GAME CAFE,"RESTAURANT,BAR,BOARD_GAMES",7:00 PM,THURSDAY,,SOUTH PHILADELPHIA,607 S 2ND ST,,PHILADELPHIA,PA,19147,,,,,,,,QUIZZO
THE THIRSTY DICE,"RESTAURANT,BAR,BOARD_GAMES",6:30 PM,WEDNESDAY,,FAIRMOUNT,1642 FAIRMOUNT AVE,,PHILADELPHIA,PA,19130,,,,,,,,QUIZZO
TWENTY ONE PIPS,"RESTAURANT,BAR,BOARD_GAMES",7:00 PM,TUESDAY,,,24 CRICKET AVE,,ARDMORE,PA,19003,,,,,,,,QUIZZO
THE VICTORIA FREEHOUSE,"RESTAURANT,BAR,BRITISH_PUB",8:00 PM,WEDNESDAY,,OLD CITY,10 S FRONT ST,,PHILADELPHIA,PA,19106,,,,,,,,QUIZZO
EL CAMINO,"RESTAURANT,BAR,CANTINA",7:00 PM,WEDNESDAY,,NORTHERN LIBERTIES,1040 N 2ND ST,,PHILADELPHIA,PA,19123,,,,,,,,QUIZZO
ADOBE CAFE,"RESTAURANT,BAR,CANTINA",8:00 PM,THURSDAY,,BELLA VISTA,736 S 8TH ST,,PHILADELPHIA,PA,19147,,,,,,,,QUIZZO
TABU,"RESTAURANT,BAR,GAY_BAR",7:00 PM,WEDNESDAY,,GAYBORHOOD,254 S 12TH ST,,PHILADELPHIA,PA,19107,,,,,,,AURORA WHOREALIS,QUIZZO
LIBERTEE GROUNDS,"RESTAURANT,BAR,GOLF",7:00 PM,THURSDAY,,FRANCISVILLE,1600 W GIRARD AVE,SUITE C5,PHILADELPHIA,PA,19130,,,,,,,,QUIZZO
FERGIE'S PUB,"RESTAURANT,BAR,IRISH_PUB",8:00 PM,TUESDAY,,GAYBORHOOD,1214 SANSOM ST,,PHILADELPHIA,PA,19107,CASH,50,CASH,25,,,JAWNYQ,QUIZZO
FERGIE'S PUB,"RESTAURANT,BAR,IRISH_PUB",8:00 PM,THURSDAY,,GAYBORHOOD,1214 SANSOM ST,,PHILADELPHIA,PA,19107,CASH,50,CASH,25,,,JAWNYQ,QUIZZO
TIR NA NOG,"RESTAURANT,BAR,IRISH_PUB",7:00 PM,TUESDAY,,CENTER CITY,1600 ARCH ST,,PHILADELPHIA,PA,19103,,,,,,,KARLY MOON,QUIZZO
CURRAN'S BENSALEM,"RESTAURANT,BAR,IRISH_PUB",7:30 PM,MONDAY,,,1909 BRISTOL PIKE,,BENSALEM,PA,19020,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
NEW DECK TAVERN,"RESTAURANT,BAR,IRISH_PUB",8:00 PM,WEDNESDAY,,UNIVERSITY CITY,3408 SANSOM ST,,PHILADELPHIA,PA,19104,,,,,,,,QUIZZO
THE BLACK SHEEP,"RESTAURANT,BAR,IRISH_PUB",8:00 PM,WEDNESDAY,,RITTENHOUSE SQUARE,247 S 17TH ST,,PHILADELPHIA,PA,19103,,,,,,,,QUIZZO
KELLIANN'S BAR AND GRILL,"RESTAURANT,BAR,IRISH_PUB",8:30 PM,WEDNESDAY,,FAIRMOUNT,1549 SPRING GARDEN STREET,,PHILADELPHIA,PA,19130,,,,,,,,QUIZZO
DOLAN'S BAR RIDLEY PARK,"RESTAURANT,BAR,IRISH_PUB",8:00 PM,TUESDAY,,,24 E SELLERS AVE,,RIDLEY PARK,PA,19078,,,,,,,,QUIZZO
KILDARES,"RESTAURANT,BAR,IRISH_PUB",9:00 PM,MONDAY,,,18 W GAY ST,,WEST CHESTER,PA,19380,,,,,,,,QUIZZO
SLIGO IRISH PUB,"RESTAURANT,BAR,IRISH_PUB",8:00 PM,TUESDAY,,,113 W STATE ST,,MEDIA,PA,19063,,,,,,,,QUIZZO
TOP TOMATO,"RESTAURANT,BAR,PIZZERIA",7:00 PM,TUESDAY,,GAYBORHOOD,116 S 11TH ST,,PHILADELPHIA,PA,19107,,,,,,,,QUIZZO
LOCO PEZ,"RESTAURANT,BAR,TAQUERIA",7:00 PM,MONDAY,,GRADUATE HOSPITAL,700 S 20TH ST,,PHILADELPHIA,PA,19146,,,,,,,JOHNNY GOODTIMES,QUIZZO
CHAR AND STAVE,"ROASTERY,DISTILLERY",7:00 PM,TUESDAY,,,21 RITTENHOUSE PL,,ARDMORE,PA,19003,,,,,,,,QUIZZO
CITY WINERY,WINERY,7:00 PM,TUESDAY,LAST_OF_MONTH,CENTER CITY,990 FILBERT ST,,PHILADELPHIA,PA,19107,,,,,,,,QUIZZO